"","D1","D2"
"Legislator 215",0.919253890540506,0.774974688597321
"Legislator 216",-0.400227222060186,-0.104156001703403
"Legislator 217",-0.679832831238419,-1.99027109047485
"Legislator 218",0.0241208316424187,-1.10848652215818
"Legislator 219",0.107819762373264,0.313492143306827
"Legislator 220",-1.00769883034729,1.18324484997686
"Legislator 221",-1.1332345833231,0.562200121100465
"Legislator 222",-1.36585369388483,0.258291911701382
"Legislator 223",0.39761490592968,-1.65769549017013
"Legislator 224",-1.18319325458718,1.29066502154275
"Legislator 225",0.594753303354099,0.215188783208287
"Legislator 226",-0.368557921102403,-1.28548498705857
"Legislator 227",0.967197639772061,1.03633524257168
"Legislator 228",-0.134622716162473,-0.221385774551968
"Legislator 229",-0.0451021609576662,-0.359485491131073
"Legislator 230",0.952032414340489,0.308607039082707
"Legislator 231",0.450903632159425,0.726716123599549
"Legislator 232",0.425555262482752,-0.637268590874776
"Legislator 233",-0.887473550648369,-0.153462137926154
"Legislator 234",-0.224567181429799,0.522029797693966
"Legislator 235",0.147492937179083,1.11313984272036
"Legislator 236",-0.133915711806429,-1.38384584778322
"Legislator 237",-1.24189189712379,1.40967890197173
"Legislator 238",-1.60776381058726,-0.13308103339263
"Legislator 239",0.218673331792805,-0.589205740191165
"Legislator 240",0.00747160441423903,-0.740555832817612
"Legislator 241",1.10721930614767,1.42427058384778
"Legislator 242",-1.45762289103947,1.69936363918232
"Legislator 243",-0.54196218155119,0.856720276701565
"Legislator 244",-0.017900169532354,0.288883027728432
"Legislator 245",-0.0874033321516812,-0.0641917121500086
"Legislator 246",0.17109932030337,-0.00188478717018646
"Legislator 247",0.401789724048756,-0.663111985039693
"Legislator 248",1.42921933011585,0.115367508973842
"Legislator 249",0.00674440816222774,0.434352808982975
"Legislator 250",-0.959269596184814,0.160820650017746
